FishID,Age,Year,Species,Cohort,Region,Width,Core,Edge,formation_month
AA399,1,2017,Lutjanus malabaricus,2016,Riau Archipelago,1889.313,248.092,184.478,10
AA399,2,2018,Lutjanus malabaricus,2016,Riau Archipelago,496.183,248.092,184.478,10
AA399,3,2019,Lutjanus malabaricus,2016,Riau Archipelago,337.15,248.092,184.478,10
AA399,4,2020,Lutjanus malabaricus,2016,Riau Archipelago,248.092,248.092,184.478,10
AA399,5,2021,Lutjanus malabaricus,2016,Riau Archipelago,222.646,248.092,184.478,10
AA399,6,2021,Lutjanus malabaricus,2016,Riau Archipelago,184.478,248.092,184.478,10
AA400,1,2017,Lutjanus malabaricus,2016,Riau Archipelago,1889.313,89.059,190.84,10
AA400,2,2018,Lutjanus malabaricus,2016,Riau Archipelago,477.099,89.059,190.84,10
AA400,3,2019,Lutjanus malabaricus,2016,Riau Archipelago,330.789,89.059,190.84,10
AA400,4,2020,Lutjanus malabaricus,2016,Riau Archipelago,254.453,89.059,190.84,10
AA400,5,2021,Lutjanus malabaricus,2016,Riau Archipelago,241.73,89.059,190.84,10
AA400,6,2021,Lutjanus malabaricus,2016,Riau Archipelago,190.84,89.059,190.84,10
AA402,1,2019,Lutjanus malabaricus,2018,Riau Archipelago,1171.477,133.701,165.535,10
AA402,2,2020,Lutjanus malabaricus,2018,Riau Archipelago,515.705,133.701,165.535,10
AA402,3,2021,Lutjanus malabaricus,2018,Riau Archipelago,343.803,133.701,165.535,10
AA402,4,2021,Lutjanus malabaricus,2018,Riau Archipelago,165.535,133.701,165.535,10
AA406,1,2018,Lutjanus malabaricus,2017,Riau Archipelago,1209.678,184.635,63.667,10
AA406,2,2019,Lutjanus malabaricus,2017,Riau Archipelago,273.769,184.635,63.667,10
AA406,3,2020,Lutjanus malabaricus,2017,Riau Archipelago,159.168,184.635,63.667,10
AA406,4,2021,Lutjanus malabaricus,2017,Riau Archipelago,127.335,184.635,63.667,10
AA406,5,2021,Lutjanus malabaricus,2017,Riau Archipelago,63.667,184.635,63.667,10
AA414,1,2019,Lutjanus malabaricus,2018,Riau Archipelago,1381.579,241.936,197.368,10
AA414,2,2020,Lutjanus malabaricus,2018,Riau Archipelago,496.604,241.936,197.368,10
AA414,3,2021,Lutjanus malabaricus,2018,Riau Archipelago,369.27,241.936,197.368,10
AA414,4,2021,Lutjanus malabaricus,2018,Riau Archipelago,197.368,241.936,197.368,10
AA415,1,2018,Lutjanus malabaricus,2017,Riau Archipelago,1380.407,165.394,171.756,10
AA415,2,2019,Lutjanus malabaricus,2017,Riau Archipelago,426.209,165.394,171.756,10
AA415,3,2020,Lutjanus malabaricus,2017,Riau Archipelago,292.621,165.394,171.756,10
AA415,4,2021,Lutjanus malabaricus,2017,Riau Archipelago,222.646,165.394,171.756,10
AA415,5,2021,Lutjanus malabaricus,2017,Riau Archipelago,171.756,165.394,171.756,10
